cluster_lokasi,cluster_final,nama_cluster,nama_kampus,kode_kampus,nama_prodi,prodi_normalized,fakultas,akreditasi,kategori_akreditasi,skor_akreditasi,biaya_tahunan,kategori_harga,provinsi_detail,wilayah,tipe_lokasi
0,0,Aceh | Baik Sekali - Terjangkau,UNIVERSITAS AL MUSLIM,17,ILMU ADMINISTRASI NEGARA,ADMINISTRASI NEGARA,-,B,Baik Sekali,3,2200000.0,Murah (< 5 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,UNIVERSITAS AL MUSLIM,17,ILMU ADMINISTRASI NIAGA,ADMINISTRASI NIAGA,-,B,Baik Sekali,3,2200000.0,Murah (< 5 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,UNIVERSITAS AL MUSLIM,17,AGRIBISNIS,AGRIBISNIS,-,B,Baik Sekali,3,2200000.0,Murah (< 5 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,UNIVERSITAS AL MUSLIM,17,AGROTEKNOLOGI,AGROTEKNOLOGI,-,B,Baik Sekali,3,2200000.0,Murah (< 5 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,UNIVERSITAS AL MUSLIM,17,PENDIDIKAN BIOLOGI,BIOLOGI,-,B,Baik Sekali,3,2200000.0,Murah (< 5 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,UNIVERSITAS AL MUSLIM,17,BUDIDAYA PERAIRAN,BUDIDAYA PERAIRAN,-,B,Baik Sekali,3,2200000.0,Murah (< 5 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,UNIVERSITAS AL MUSLIM,17,PENDIDIKAN EKONOMI,EKONOMI,-,B,Baik Sekali,3,2200000.0,Murah (< 5 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,UNIVERSITAS AL MUSLIM,17,EKONOMI PEMBANGUNAN,EKONOMI PEMBANGUNAN,-,B,Baik Sekali,3,2200000.0,Murah (< 5 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,UNIVERSITAS AL MUSLIM,17,PENDIDIKAN FISIKA,FISIKA,-,B,Baik Sekali,3,2200000.0,Murah (< 5 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,UNIVERSITAS AL MUSLIM,17,PENDIDIKAN GEOGRAFI,GEOGRAFI,-,B,Baik Sekali,3,2200000.0,Murah (< 5 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,UNIVERSITAS AL MUSLIM,17,PENDIDIKAN GURU SD,GURU SEKOLAH DASAR,-,A,A,4,2200000.0,Murah (< 5 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,UNIVERSITAS AL MUSLIM,17,ILMU HUBUNGAN INTERNASIONAL,HUBUNGAN INTERNASIONAL,-,B,Baik Sekali,3,2200000.0,Murah (< 5 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,UNIVERSITAS AL MUSLIM,17,MANAJEMEN INFORMATIKA,MANAJEMEN INFORMATIKA,-,B,Baik Sekali,3,2200000.0,Murah (< 5 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,UNIVERSITAS AL MUSLIM,17,PENDIDIKAN MATEMATIKA,MATEMATIKA,-,B,Baik Sekali,3,2200000.0,Murah (< 5 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,UNIVERSITAS AL MUSLIM,17,PETERNAKAN,PETERNAKAN,-,B,Baik Sekali,3,2200000.0,Murah (< 5 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,UNIVERSITAS AL MUSLIM,17,TEKNIK SIPIL,SIPIL,-,B,Baik Sekali,3,2200000.0,Murah (< 5 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,SEKOLAH TINGGI KEGURUAN DAN ILMU PENDIDIKAN AN-NUR NANGGROE ACEH DARUSSALAM,1465,PENDIDIKAN GURU PENDIDIKAN ANAK USIA DINI,GURU ANAK USIA DINI,-,BAIK,Baik Sekali,3,3150000.0,Murah (< 5 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,UNIVERSITAS CIPTA MANDIRI,21,AGRIBISNIS,AGRIBISNIS,-,TERAKREDITASI SEMENTARA,A,4,3800000.0,Murah (< 5 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,UNIVERSITAS CIPTA MANDIRI,21,PENDIDIKAN BIOLOGI,BIOLOGI,-,BAIK SEKALI,Baik Sekali,3,3800000.0,Murah (< 5 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,UNIVERSITAS CIPTA MANDIRI,21,TEKNIK ELEKTRO,ELEKTRO,-,BAIK,Baik Sekali,3,3800000.0,Murah (< 5 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,UNIVERSITAS CIPTA MANDIRI,21,PENDIDIKAN GURU SEKOLAH DASAR,GURU SEKOLAH DASAR,-,BAIK SEKALI,Baik Sekali,3,3800000.0,Murah (< 5 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,UNIVERSITAS CIPTA MANDIRI,21,ILMU KOMPUTER,KOMPUTER,-,BAIK,Baik Sekali,3,3800000.0,Murah (< 5 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,UNIVERSITAS CIPTA MANDIRI,21,PENDIDIKAN MATEMATIKA,MATEMATIKA,-,BAIK SEKALI,Baik Sekali,3,3800000.0,Murah (< 5 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,UNIVERSITAS NURUL HASANAH KUTACANE,1364,INFORMATIKA MEDIS,INFORMATIKA MEDIS,-,BAIK,Baik Sekali,3,4400000.0,Murah (< 5 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,UNIVERSITAS NURUL HASANAH KUTACANE,1364,ILMU KEPERAWATAN,KEPERAWATAN,-,BAIK SEKALI,Baik Sekali,3,4400000.0,Murah (< 5 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,UNIVERSITAS NURUL HASANAH KUTACANE,1364,KESEHATAN MASYARAKAT,KESEHATAN MASYARAKAT,-,BAIK,Baik Sekali,3,4400000.0,Murah (< 5 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,UNIVERSITAS NURUL HASANAH KUTACANE,1364,KEWIRAUSAHAAN,KEWIRAUSAHAAN,-,BAIK,Baik Sekali,3,4400000.0,Murah (< 5 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,UNIVERSITAS NURUL HASANAH KUTACANE,1364,SISTEM INFORMASI,SISTEM INFORMASI,-,BAIK,Baik Sekali,3,4400000.0,Murah (< 5 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,UNIVERSITAS NURUL HASANAH KUTACANE,1364,PENDIDIKAN TEKNOLOGI INFORMASI,TEKNOLOGI INFORMASI,-,BAIK,Baik Sekali,3,4400000.0,Murah (< 5 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,SEKOLAH TINGGI ILMU KEHUTANAN PANTE KULU,1301,KEHUTANAN,KEHUTANAN,-,BAIK,Baik Sekali,3,4800000.0,Murah (< 5 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,SEKOLAH TINGGI ILMU MANAJEMEN INDONESIA MEULABOH,1284,MANAJEMEN,MANAJEMEN,-,BAIK,Baik Sekali,3,4800000.0,Murah (< 5 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,STMIK INDONESIA BANDA ACEH,1279,SISTEM INFORMASI,SISTEM INFORMASI,-,BAIK,Baik Sekali,3,4800000.0,Murah (< 5 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,STMIK INDONESIA BANDA ACEH,1279,SISTEM KOMPUTER,SISTEM KOMPUTER,-,BAIK,Baik Sekali,3,4800000.0,Murah (< 5 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,SEKOLAH TINGGI ILMU ADMINISTRASI ISKANDAR THANI,1236,ILMU ADMINISTRASI NEGARA,ADMINISTRASI NEGARA,-,B,Baik Sekali,3,5000000.0,Terjangkau (5-10 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,SEKOLAH TINGGI ILMU ADMINISTRASI PELITA NUSANTARA,1248,ADMINISTRASI BISNIS,ADMINISTRASI BISNIS,-,BAIK,Baik Sekali,3,5000000.0,Terjangkau (5-10 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,SEKOLAH TINGGI ILMU EKONOMI YPHB,1230,MANAJEMEN,MANAJEMEN,-,BAIK,Baik Sekali,3,5000000.0,Terjangkau (5-10 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,SEKOLAH TINGGI ILMU HUKUM AL-BANNA,1239,HUKUM,HUKUM,-,BAIK,Baik Sekali,3,5000000.0,Terjangkau (5-10 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,SEKOLAH TINGGI ILMU PERTANIAN YASHAFA,1245,AGRIBISNIS,AGRIBISNIS,-,BAIK,Baik Sekali,3,5000000.0,Terjangkau (5-10 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,SEKOLAH TINGGI ILMU PERTANIAN YASHAFA,1245,AGROTEKNOLOGI,AGROTEKNOLOGI,-,BAIK,Baik Sekali,3,5000000.0,Terjangkau (5-10 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,UNIVERSITAS BUMI PERSADA,1171,AKUNTANSI,AKUNTANSI,-,BAIK,Baik Sekali,3,5600000.0,Terjangkau (5-10 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,UNIVERSITAS BUMI PERSADA,1171,PENDIDIKAN INFORMATIKA,INFORMATIKA,-,BAIK,Baik Sekali,3,5600000.0,Terjangkau (5-10 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,UNIVERSITAS BUMI PERSADA,1171,INFORMATIKA MEDIS,INFORMATIKA MEDIS,-,BAIK,Baik Sekali,3,5600000.0,Terjangkau (5-10 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,UNIVERSITAS BUMI PERSADA,1171,ILMU KEPERAWATAN,KEPERAWATAN,-,BAIK SEKALI,Baik Sekali,3,5600000.0,Terjangkau (5-10 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,UNIVERSITAS BUMI PERSADA,1171,MANAJEMEN,MANAJEMEN,-,B,Baik Sekali,3,5600000.0,Terjangkau (5-10 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,SEKOLAH TINGGI ILMU KESEHATAN JABAL GHAFUR,1136,FARMASI KLINIS,FARMASI,-,BAIK,Baik Sekali,3,5900000.0,Terjangkau (5-10 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,UNIVERSITAS GAJAH PUTIH,1137,ILMU ADMINISTRASI NEGARA,ADMINISTRASI NEGARA,-,BAIK,Baik Sekali,3,5900000.0,Terjangkau (5-10 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,UNIVERSITAS GAJAH PUTIH,1137,AGRIBISNIS,AGRIBISNIS,-,BAIK,Baik Sekali,3,5900000.0,Terjangkau (5-10 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,UNIVERSITAS GAJAH PUTIH,1137,AGROTEKNOLOGI,AGROTEKNOLOGI,-,BAIK,Baik Sekali,3,5900000.0,Terjangkau (5-10 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,UNIVERSITAS GAJAH PUTIH,1137,BUDIDAYA PERAIRAN,BUDIDAYA PERAIRAN,-,BAIK SEKALI,Baik Sekali,3,5900000.0,Terjangkau (5-10 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,UNIVERSITAS GAJAH PUTIH,1137,EKONOMI PEMBANGUNAN,EKONOMI PEMBANGUNAN,-,BAIK SEKALI,Baik Sekali,3,5900000.0,Terjangkau (5-10 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,UNIVERSITAS GAJAH PUTIH,1137,ILMU KOMUNIKASI,ILMU KOMUNIKASI,-,BAIK,Baik Sekali,3,5900000.0,Terjangkau (5-10 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,UNIVERSITAS GAJAH PUTIH,1137,TEKNIK INFORMATIKA,INFORMATIKA,-,BAIK,Baik Sekali,3,5900000.0,Terjangkau (5-10 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,UNIVERSITAS GAJAH PUTIH,1137,MANAJEMEN,MANAJEMEN,-,BAIK,Baik Sekali,3,5900000.0,Terjangkau (5-10 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,UNIVERSITAS GAJAH PUTIH,1137,PETERNAKAN,PETERNAKAN,-,BAIK,Baik Sekali,3,5900000.0,Terjangkau (5-10 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,SEKOLAH TINGGI ILMU KESEHATAN SIHAT BEURATA BANDA ACEH,1108,ADMINISTRASI KESEHATAN,ADMINISTRASI KESEHATAN,-,BAIK,Baik Sekali,3,6000000.0,Terjangkau (5-10 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,UNIVERSITAS ISKANDAR MUDA,1087,AGROTEKNOLOGI,AGROTEKNOLOGI,-,BAIK,Baik Sekali,3,6000000.0,Terjangkau (5-10 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,UNIVERSITAS ISKANDAR MUDA,1087,TEKNIK ELEKTRO,ELEKTRO,-,BAIK,Baik Sekali,3,6000000.0,Terjangkau (5-10 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,UNIVERSITAS ISKANDAR MUDA,1087,PENDIDIKAN GURU SEKOLAH DASAR,GURU SEKOLAH DASAR,-,BAIK SEKALI,Baik Sekali,3,6000000.0,Terjangkau (5-10 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,UNIVERSITAS ISKANDAR MUDA,1087,HUKUM KELUARGA,HUKUM,-,B,Baik Sekali,3,6000000.0,Terjangkau (5-10 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,UNIVERSITAS ISKANDAR MUDA,1087,ILMU KOMUNIKASI,ILMU KOMUNIKASI,-,B,Baik Sekali,3,6000000.0,Terjangkau (5-10 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,UNIVERSITAS ISKANDAR MUDA,1087,PENDIDIKAN MATEMATIKA,MATEMATIKA,-,BAIK SEKALI,Baik Sekali,3,6000000.0,Terjangkau (5-10 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,UNIVERSITAS ISKANDAR MUDA,1087,TEKNIK MESIN,MESIN,-,BAIK,Baik Sekali,3,6000000.0,Terjangkau (5-10 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,UNIVERSITAS ISKANDAR MUDA,1087,PEMBANGUNAN SOSIAL,PEMBANGUNAN SOSIAL,-,B,Baik Sekali,3,6000000.0,Terjangkau (5-10 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,UNIVERSITAS ISKANDAR MUDA,1087,TEKNIK SIPIL,SIPIL,-,BAIK SEKALI,Baik Sekali,3,6000000.0,Terjangkau (5-10 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,UNIVERSITAS SERAMBI MEKKAH,1039,ILMU EKONOMI,EKONOMI,FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN,B,Baik Sekali,3,6300000.0,Terjangkau (5-10 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,UNIVERSITAS SERAMBI MEKKAH,1039,FISIKA,FISIKA,FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN,BAIK,Baik Sekali,3,6300000.0,Terjangkau (5-10 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,UNIVERSITAS SERAMBI MEKKAH,1039,PENDIDIKAN GURU SEKOLAH DASAR,GURU SEKOLAH DASAR,FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN,B,Baik Sekali,3,6300000.0,Terjangkau (5-10 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,UNIVERSITAS SERAMBI MEKKAH,1039,HUKUM BISNIS,HUKUM,-,TERAKREDITASI SEMENTARA,A,4,6300000.0,Terjangkau (5-10 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,UNIVERSITAS SERAMBI MEKKAH,1039,ILMU KOMUNIKASI,ILMU KOMUNIKASI,FAKULTAS DAKWAH DAN KOMUNIKASI,BAIK,Baik Sekali,3,6300000.0,Terjangkau (5-10 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,UNIVERSITAS SERAMBI MEKKAH,1039,TEKNIK INDUSTRI,INDUSTRI,FAKULTAS TEKNIK,BAIK,Baik Sekali,3,6300000.0,Terjangkau (5-10 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,UNIVERSITAS SERAMBI MEKKAH,1039,TEKNIK INFORMATIKA,INFORMATIKA,FAKULTAS TEKNIK,BAIK,Baik Sekali,3,6300000.0,Terjangkau (5-10 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,UNIVERSITAS SERAMBI MEKKAH,1039,"PENDIDIKAN JASMANI, KESEHATAN DAN REKREASI",JASMANI,-,B,Baik Sekali,3,6300000.0,Terjangkau (5-10 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,UNIVERSITAS SERAMBI MEKKAH,1039,KESEHATAN MASYARAKAT,KESEHATAN MASYARAKAT,FAKULTAS KESEHATAN MASYARAKAT,B,Baik Sekali,3,6300000.0,Terjangkau (5-10 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,UNIVERSITAS SERAMBI MEKKAH,1039,TEKNIK KIMIA,KIMIA,FAKULTAS TEKNIK,B,Baik Sekali,3,6300000.0,Terjangkau (5-10 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,UNIVERSITAS SERAMBI MEKKAH,1039,TEKNIK KOMPUTER,KOMPUTER,-,BAIK,Baik Sekali,3,6300000.0,Terjangkau (5-10 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,UNIVERSITAS SERAMBI MEKKAH,1039,TEKNIK LINGKUNGAN,LINGKUNGAN,FAKULTAS TEKNIK,BAIK SEKALI,Baik Sekali,3,6300000.0,Terjangkau (5-10 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,UNIVERSITAS SERAMBI MEKKAH,1039,PENDIDIKAN MATEMATIKA,MATEMATIKA,FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN,BAIK SEKALI,Baik Sekali,3,6300000.0,Terjangkau (5-10 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,UNIVERSITAS SERAMBI MEKKAH,1039,PENDIDIKAN OLAHRAGA,OLAHRAGA,FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN,BAIK,Baik Sekali,3,6300000.0,Terjangkau (5-10 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,UNIVERSITAS SERAMBI MEKKAH,1039,PENDIDIKAN ILMU PENGETAHUAN ALAM,PENGETAHUAN ALAM,-,BAIK,Baik Sekali,3,6300000.0,Terjangkau (5-10 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,UNIVERSITAS SERAMBI MEKKAH,1039,PERBANKAN,PERBANKAN,FAKULTAS SYARIAH,BAIK,Baik Sekali,3,6300000.0,Terjangkau (5-10 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,UNIVERSITAS SERAMBI MEKKAH,1039,TEKNIK PERTANIAN,PERTANIAN,FAKULTAS TEKNOLOGI PERTANIAN,BAIK,Baik Sekali,3,6300000.0,Terjangkau (5-10 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,UNIVERSITAS SERAMBI MEKKAH,1039,SEJARAH,SEJARAH,FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN,BAIK SEKALI,Baik Sekali,3,6300000.0,Terjangkau (5-10 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,UNIVERSITAS SERAMBI MEKKAH,1039,ILMU DAN TEKNOLOGI PANGAN,TEKNOLOGI PANGAN,FAKULTAS TEKNOLOGI PERTANIAN,BAIK,Baik Sekali,3,6300000.0,Terjangkau (5-10 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,UNIVERSITAS ISLAM KEBANGSAAN INDONESIA,1016,AKUNTANSI,AKUNTANSI,-,BAIK SEKALI,Baik Sekali,3,6400000.0,Terjangkau (5-10 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,UNIVERSITAS ISLAM KEBANGSAAN INDONESIA,1016,HUKUM,HUKUM,-,BAIK,Baik Sekali,3,6400000.0,Terjangkau (5-10 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,UNIVERSITAS ISLAM KEBANGSAAN INDONESIA,1016,INFORMATIKA,INFORMATIKA,-,BAIK SEKALI,Baik Sekali,3,6400000.0,Terjangkau (5-10 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,UNIVERSITAS ISLAM KEBANGSAAN INDONESIA,1016,PENDIDIKAN JASMANI,JASMANI,-,BAIK,Baik Sekali,3,6400000.0,Terjangkau (5-10 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,UNIVERSITAS ISLAM KEBANGSAAN INDONESIA,1016,MANAJEMEN,MANAJEMEN,-,BAIK SEKALI,Baik Sekali,3,6400000.0,Terjangkau (5-10 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,UNIVERSITAS ISLAM KEBANGSAAN INDONESIA,1016,ILMU PERTANIAN,PERTANIAN,-,BAIK,Baik Sekali,3,6400000.0,Terjangkau (5-10 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,UNIVERSITAS ISLAM KEBANGSAAN INDONESIA,1016,PETERNAKAN,PETERNAKAN,-,BAIK,Baik Sekali,3,6400000.0,Terjangkau (5-10 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,UNIVERSITAS ISLAM KEBANGSAAN INDONESIA,1016,PENDIDIKAN SENI PERTUNJUKAN,SENI,-,BAIK,Baik Sekali,3,6400000.0,Terjangkau (5-10 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,UNIVERSITAS ISLAM KEBANGSAAN INDONESIA,1016,TEKNIK SIPIL,SIPIL,-,BAIK,Baik Sekali,3,6400000.0,Terjangkau (5-10 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,UNIVERSITAS MUHAMMADIYAH MAHAKARYA ACEH,984,PENDIDIKAN EKONOMI,EKONOMI,-,BAIK,Baik Sekali,3,6600000.0,Terjangkau (5-10 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,UNIVERSITAS MUHAMMADIYAH MAHAKARYA ACEH,984,HUKUM,HUKUM,-,BAIK,Baik Sekali,3,6600000.0,Terjangkau (5-10 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,UNIVERSITAS MUHAMMADIYAH MAHAKARYA ACEH,984,ILMU KOMUNIKASI,ILMU KOMUNIKASI,-,BAIK,Baik Sekali,3,6600000.0,Terjangkau (5-10 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,UNIVERSITAS MUHAMMADIYAH MAHAKARYA ACEH,984,PENDIDIKAN JASMANI,JASMANI,-,BAIK,Baik Sekali,3,6600000.0,Terjangkau (5-10 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,UNIVERSITAS MUHAMMADIYAH MAHAKARYA ACEH,984,ILMU KEPERAWATAN,KEPERAWATAN,-,BAIK SEKALI,Baik Sekali,3,6600000.0,Terjangkau (5-10 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,UNIVERSITAS MUHAMMADIYAH MAHAKARYA ACEH,984,KESEHATAN MASYARAKAT,KESEHATAN MASYARAKAT,-,BAIK SEKALI,Baik Sekali,3,6600000.0,Terjangkau (5-10 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,UNIVERSITAS MUHAMMADIYAH MAHAKARYA ACEH,984,MANAJEMEN,MANAJEMEN,-,BAIK,Baik Sekali,3,6600000.0,Terjangkau (5-10 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,UNIVERSITAS MUHAMMADIYAH MAHAKARYA ACEH,984,PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN,PANCASILA KEWARGANEGARAAN,-,BAIK,Baik Sekali,3,6600000.0,Terjangkau (5-10 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,UNIVERSITAS MUHAMMADIYAH MAHAKARYA ACEH,984,PSIKOLOGI,PSIKOLOGI,-,BAIK,Baik Sekali,3,6600000.0,Terjangkau (5-10 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,UNIVERSITAS MUHAMMADIYAH MAHAKARYA ACEH,984,TEKNOLOGI INFORMASI,TEKNOLOGI INFORMASI,-,BAIK,Baik Sekali,3,6600000.0,Terjangkau (5-10 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,UNIVERSITAS SAINS CUT NYAK DHIEN,716,AGROTEKNOLOGI,AGROTEKNOLOGI,-,BAIK,Baik Sekali,3,9000000.0,Terjangkau (5-10 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,UNIVERSITAS SAINS CUT NYAK DHIEN,716,BIMBINGAN KONSELING,BIMBINGAN KONSELING,-,BAIK,Baik Sekali,3,9000000.0,Terjangkau (5-10 juta),Aceh,Sumatera,Daerah
0,0,Aceh | Baik Sekali - Terjangkau,UNIVERSITAS SAINS CUT NYAK DHIEN,716,FARMASI,FARMASI,-,BAIK SEKALI,Baik Sekali,3,9000000.0,Terjangkau (5-10 juta),Aceh,Sumatera,Daerah
