faculty,building_name,address,institution_code
ALL,Kampus Utama,"Jl. Mertojoyo Blok L, Merjosari, Kec. Lowokwaru, Kota Malang, Jawa Timur 65144",quipper-57
ALL,Kampus Utama,"Jl. Cimanuk No. 20, Wonokromo, Surabaya, Jawa Timur",quipper-58
Administrasi Bisnis,Kampus Utama,"Jl. Rawajati Timur I/1. Kalibata, Pancoran. Jakarta Selatan, DKI Jakarta. 12750",quipper-59
ALL,Kampus Cikarang,"Jalan Inspeksi Kalimalang Tegal Danas, Cikarang Pusat",quipper-60
ALL,Kampus Karawang,"Kondangjaya, Karawang Timur, Karawang, West Java 41371",quipper-60
ALL,Kampus Bekasi,"Ruko Bekasi Mas, Jalan A.Yani, RT 004 RW 003, Marga Jaya, Kecamatan Bekasi Selatan, Kota Bekasi, Jawa Barat 17148",quipper-60
Perkeretaapian,Kampus Utama,"Jalan Tirta Raya, Kota Madiun, Jawa Timur",quipper-61
ALL,Kampus Utama,Jl. Raya Pondok Gede No.23-25 Jakarta Timur 13550,quipper-62
ALL,Kampus Utama,"Jalan Singosari Nomor 2A, Kota Semarang, Jawa Tengah 50242",quipper-63
ALL,Kampus Utama,"Jalan Ngagel Jaya Tengah 73-77, Surabaya, Indonesia",quipper-64
ALL,Kampus Utama,"Jalan Imam Bonjol, Tanema, Kecamatan Fakfak, Kabupaten Fakfak, Papua Barat 98611",quipper-65
ALL,Kampus Utama,"Jl.Bintaro Raya No.10, Tanah Kusir, Kebayoran Lama Utara, Jakarta Selatan",quipper-66
Teknik Penerbangan,Kampus Utama,"Jl. Raya PLP Curug, Serdang Wetan, Kec. Legok, Tangerang, Banten 15820",quipper-67
Manajemen Penerbangan,Kampus Utama,"Jl. Raya PLP Curug, Serdang Wetan, Kec. Legok, Tangerang, Banten 15820",quipper-67
Penerbang,Kampus Utama,"Jl. Raya PLP Curug, Serdang Wetan, Kec. Legok, Tangerang, Banten 15820",quipper-67
Keselamatan Penerbangan,Kampus Utama,"Jl. Raya PLP Curug, Serdang Wetan, Kec. Legok, Tangerang, Banten 15820",quipper-67
ALL,Kampus Utama,"Jl. Gapura No.8 Rawa Banteng Desa Cibuntu, Kecamatan Cibitung, Kabupaten Bekasi, Provinsi Jawa Barat, Indonesia.",quipper-68
ALL,Kampus Utama,"Jl. Brigjend Dharsono No.20, Kertawinangun, Kedawung, Kabupaten Cirebon, Jawa Barat 45153",quipper-69
ALL,Kampus Utama,"Jalan Pancaka No. 7B Mataram, Nusa Tenggara Barat, Indonesia",quipper-70
ALL,Kampus UBAYA Tenggilis,"Jl. Raya Kalirungkut, Surabaya",quipper-71
ALL,Kampus UBAYA Ngagel,"Jl. Ngagel Jaya Selatan 169, Surabaya",quipper-71
ALL,Kampus UBAYA III Trawas,"Jl. Tamiajeng, Trawas, Mojokerto, Jawa Timur",quipper-71
ALL,Kampus Ngagel,"Jalan Ngagel Dadi III-3B/37 Surabaya 60245 Jawa Timur, Indonesia",quipper-72
ALL,Kampus Menanggal,"Jalan Dukuh Menanggal XII, Surabaya 60234 Jawa Timur, Indonesia",quipper-72
ALL,Kampus Utama,"Jalan Sriwijaya Nomor 32, Karangrejo, Sumbersari, Jember, Jawa Timur, Indonesia",quipper-73
ALL,Kampus Utama,"Jalan Marunda Makmur Cilincing, Jakarta Utara 14150, Indonesia",quipper-74
ALL,Kampus Utama,"Jl. Sawo Manila, Pejaten Ps. Minggu Jakarta 12520",quipper-75
ALL,Kampus Utama,"Jalan Ahmad Yani Nomor 114,
Ketintang, Kecamatan Gayungan, Kota Surabaya, Jawa Timur 60231",quipper-76
Fakultas Bisnis,Kampus L'Avenue,"L’Avenue Campus Jln. Raya Pasar Minggu, Kav. 16 Pancoran, Jakarta 12780",quipper-77
Fakultas Pendidikan,Kampus L'Avenue,"L’Avenue Campus Jln. Raya Pasar Minggu, Kav. 16 Pancoran, Jakarta 12780",quipper-77
Fakultas Teknik dan Teknologi,Kampus L'Avenue,"L’Avenue Campus Jln. Raya Pasar Minggu, Kav. 16 Pancoran, Jakarta 12780",quipper-77
ALL,Kampus Utama,"Jl. Jeruk Purut No. 10 Cilandak Timur Pasar Minggu
Jakarta Selatan 12650",quipper-78
ALL,Kampus Utama,"Jl. Pawiyatan Luhur IV/1 Bendan Dhuwur, Semarang 50234",quipper-79
ALL,Kampus Utama,"Jalan Raya Sentani Depapre, Distrik Waibu, Kabupaten Jayapura, Papua 99352",quipper-80
ALL,Kampus Cikarang,"Jl. Cibarusah No. 168, Cikarang Square, Cikarang",quipper-81
ALL,Kampus Merdeka,Jl. Merdeka No. 168 Bogor,quipper-81
ALL,Kampus Rektorat,"Jl. Kramat No. 98, Jakarta Pusat",quipper-81
ALL,Kampus Depok,"Jl. Margonda Raya No. 8, Depok",quipper-81
ALL,Kampus Salemba,"Jl. Salemba Tengah No.22, Jakarta Pusat",quipper-81
ALL,Kampus Dewi Sartika B,"Jl. Dewi Sartika No. 289, Cawang, Jakarta Timur",quipper-81
ALL,Kampus Cengkareng,"Jl. Kamal Raya No. 18, Ring Road Barat, Jakarta Barat",quipper-81
ALL,Kampus Sukabumi,Jl. Cemerlang No.8 Sukabumi,quipper-81
ALL,Kampus Tegal,"Jl. Sipelem No. 22, Tegal Barat",quipper-81
ALL,Kampus Cilebut,"Jl. Cilebut Raya Pesona Intiland, Kodya, Bogor",quipper-81
ALL,Kampus Cikampek,"Jl. Ir. Juanda, No. 17, Cikampek",quipper-81
ALL,Kampus Slipi,"Jl. Kemanggisan Utama, Jakarta Barat",quipper-81
ALL,Kampus Cibitung,"Jl. KH. Akhmad No. 8, Raya Setu Cibitung Tambun",quipper-81
ALL,Kampus Tasikmalaya,"Jl. Tanuwijaya No. 4 Empang Sari, Tawang, Tasikmalaya",quipper-81
ALL,Kampus Jatiwaringin,"Jl. Unkris No. 2, Jatiwaringin, Jakarta Timur",quipper-81
ALL,Kampus Karawang,"Jl. Banten No.1 Karang Pawitan, Karawang",quipper-81
ALL,Kampus Purwokerto,"Jl. DR. Bunyamin No. 106, Purwokerto",quipper-81
ALL,Kampus Kalimalang,"Jl. SMA KAPIN No. 292 A, Kalimalang, Jakarta Timur",quipper-81
ALL,Kampus Ciputat,"Jl. Ir. H. Juanda No. 39, Ciputat",quipper-81
ALL,Kampus BSD,"BSD Sektor XIV Blok C1/1, Tangerang",quipper-81
ALL,Kampus Pontianak,"Jl. Abdul Rahman Saleh No.18, Pontianak",quipper-81
ALL,Kampus Kaliabang,"Jl. Raya Kaliabang No.8, Perwira, Bekasi Utara",quipper-81
ALL,Kampus Tangerang,"Jl. Gatot Subroto No.8, Cimone, Kota Tangerang",quipper-81
ALL,Kampus Pemuda,"Jl. Kayu Jati 5 No 2, Pemuda, Rawamangun",quipper-81
ALL,Kampus Yogyakarta,"Jl. Ringroad Barat Ambar Ketawang Gamping, Sleman",quipper-81
ALL,Kampus Fatmawati,Jl. RS. Fatmawati No. 24 Jakarta Selatan,quipper-81
ALL,Kampus Ciledug,"Jl. Ciledug Raya No. 108, Cipulir, Jakarta Selatan",quipper-81
ALL,Kampus Bekasi,"Jl. Cut Mutiah No 88, Bekasi",quipper-81
ALL,Kampus Solo,"Jl. Letjen Sutoyo No.43, Kota Surakarta",quipper-81
ALL,Kampus Utama,"Jl. Rangga Gading No.01, Gudang, Kecamatan Bogor Tengah, Kota Bogor, Jawa Barat 16123",quipper-82
ALL,Kampus A,"Jalan Arteri Pondok Indah No. 11, Kebayoran Lama, RT 4/RW 2, Kebayoran Lama Utara, Kecamatan Kebayoran Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12240",quipper-83
ALL,Kampus B,"Jalan H. Jampang No.91, Jatimulya, Kecamatan Tambun Selatan, Bekasi, Jawa Barat 17510",quipper-83
ALL,Kampus Cinagara,"Jalan Snakma
Desa Pasir Buncir, Kecamatan Caringin
Kabupaten Bogor, Jawa Barat, 16730",quipper-84
ALL,Kampus Cibalagung,"Jl. Aria Surialaga No. 1 Pasirjaya
Kecamatan. Bogor Barat
Kota Bogor, Jawa Barat 16119",quipper-84
ALL,Kampus A,"Jl. Raya Bogor Km.24 Cijantung, Jakarta Timur, 13770",quipper-85
ALL,Kampus B,"Jl. Bintara Raya, Bintara V, Bekasi, Jawa Barat, 17134",quipper-85
ALL,Kampus A,"Komplek Pendidikan Perguruan Muhammadiyah Kramat Jl. Kramat Raya No.49, Lantai 4-5 Jakarta Pusat 10450",quipper-86
ALL,Kampus B,Jl. Minangkabau No. 60 – Manggarai Jakarta Selatan 12970,quipper-86
ALL,Kampus C,Jl. Sungai Kendal No. 146 Jakarta Utara 14140,quipper-86
ALL,Kampus Tomohon,"Jl. Kampus, Matani Satu, Kec. Tomohon Tengah, Kota Tomohon, Sulawesi Utara",quipper-87
ALL,Kampus Tondano,"Jl. Kampus Unima, Kel. Tonsaru, Kec. Tondano Selatan, Kab. Minahasa",quipper-87
Fakultas Keguruan dan Ilmu Pendidikan,Universitas Ibn Khaldun (UIKA) Bogor,"Jln. KH. Sholeh Iskandar, RT.01/RW.10, Kedung Badak, Kec. Tanah Sereal, Kota Bogor, Jawa Barat 16162",quipper-88
Fakultas Teknik dan Sains,Universitas Ibn Khaldun (UIKA) Bogor,"Jln. KH. Sholeh Iskandar, RT.01/RW.10, Kedung Badak, Kec. Tanah Sereal, Kota Bogor, Jawa Barat 16162",quipper-88
Fakultas Hukum,Universitas Ibn Khaldun (UIKA) Bogor,"Jln. KH. Sholeh Iskandar, RT.01/RW.10, Kedung Badak, Kec. Tanah Sereal, Kota Bogor, Jawa Barat 16162",quipper-88
Fakultas Ilmu Kesehatan,Universitas Ibn Khaldun (UIKA) Bogor,"Jln. KH. Sholeh Iskandar, RT.01/RW.10, Kedung Badak, Kec. Tanah Sereal, Kota Bogor, Jawa Barat 16162",quipper-88
Fakultas Ekonomi dan Bisnis,Universitas Ibn Khaldun (UIKA) Bogor,"Jln. KH. Sholeh Iskandar, RT.01/RW.10, Kedung Badak, Kec. Tanah Sereal, Kota Bogor, Jawa Barat 16162",quipper-88
Fakultas Agama Islam,Universitas Ibn Khaldun (UIKA) Bogor,"Jln. KH. Sholeh Iskandar, RT.01/RW.10, Kedung Badak, Kec. Tanah Sereal, Kota Bogor, Jawa Barat 16162",quipper-88
ALL,Kampus Utama,"Jl. KH. Wahid Hasyim no. 65, Kediri, Jawa Timur, 64114",quipper-89
ALL,Kampus Tangerang,"Jalan Daan Mogot Nomor 31, Tangerang",quipper-90
